source_id,url,title,incident_name,notes
SRC-001,,SN1 tank test structural failure,Starship SN1 cryogenic test failure,Source URL missing; add official report or webcast recap.
SRC-002,,SN3 cryogenic test collapse,Starship SN3 cryogenic test collapse,Source URL missing; add official report or webcast recap.
SRC-003,,SN4 static fire anomaly,Starship SN4 test stand explosion,Source URL missing; add official report or webcast recap.
SRC-004,,SN7.1 test tank structural failure,Starship SN7.1 test tank failure,Source URL missing; add official report or webcast recap.
SRC-005,,SN8 flight test landing failure,Starship SN8 high-altitude landing failure,Source URL missing; add official report or webcast recap.
SRC-006,,SN9 flight test landing failure,Starship SN9 high-altitude landing failure,Source URL missing; add official report or webcast recap.
SRC-007,,SN10 hard landing and loss,Starship SN10 landing hard and post-landing explosion,Source URL missing; add official report or webcast recap.
SRC-008,,SN11 flight test telemetry loss,Starship SN11 landing failure with telemetry loss,Source URL missing; add official report or webcast recap.
SRC-009,,SN15 successful landing,Starship SN15 successful landing,Source URL missing; add official report or webcast recap.
SRC-010,,Booster static fire engine shutdown,Super Heavy Booster static fire engine shutdown,Source URL missing; add official report or webcast recap.
SRC-011,,Booster engine bay fire during testing,Super Heavy booster engine bay fire,Source URL missing; add official report or webcast recap.
SRC-012,,Ship static fire abort,Starship ship static fire abort,Source URL missing; add official report or webcast recap.
SRC-013,,IFT-1 flight termination,Integrated Flight Test 1 vehicle loss,Source URL missing; add official report or webcast recap.
SRC-014,,IFT-1 pad damage,Integrated Flight Test 1 pad damage,Source URL missing; add official report or webcast recap.
SRC-015,,IFT-2 vehicle loss after separation,Integrated Flight Test 2 vehicle loss,Source URL missing; add official report or webcast recap.
SRC-016,,IFT-3 ship loss during reentry,Integrated Flight Test 3 ship loss during reentry,Source URL missing; add official report or webcast recap.
SRC-017,,IFT-4 booster recovery anomaly,Integrated Flight Test 4 booster recovery anomaly,Source URL missing; add official report or webcast recap.
SRC-018,,Engine ignition anomaly,Engine ignition anomaly during ground test,Source URL missing; add official report or webcast recap.
SRC-019,,Propellant leak during tanking,Propellant leak during tanking,Source URL missing; add official report or webcast recap.
SRC-020,,Valve malfunction during fueling,Valve malfunction during fueling,Source URL missing; add official report or webcast recap.
SRC-021,,Sensor fault triggers abort,Sensor fault triggers abort,Source URL missing; add official report or webcast recap.
SRC-022,,Telemetry drop during ascent,Telemetry drop during ascent,Source URL missing; add official report or webcast recap.
SRC-023,,Stage separation failure,Stage separation failure in test flight,Source URL missing; add official report or webcast recap.
SRC-024,,Thermal protection damage,Thermal protection damage during reentry test,Source URL missing; add official report or webcast recap.
SRC-025,,Control system instability,Control system instability during descent,Source URL missing; add official report or webcast recap.
